rank,user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
120,Hot Pants,Comet,0,9,2,0,3,0,0
121,Ollie,Vixen,0,8,1,0,,,
122,Hydrant,Vixen,0,7,1,1,,,
123,Dan-D-LION,Rudolph,0,6,2,0,3,0,
123,Large Marge,Donner,0,6,1,0,,,
123,Dr. Loco,Rudolph,0,6,2,0,3,0,0
123,Sailer Moon,Blitzen,0,6,2,0,,,
124,Ferkus,Prancer,0,5,0,0,,,
124,Griner,Comet,0,5,0,0,,,
125,Grinch,Dasher,0,3,0,0,,,
125,Dungeon Master,Prancer,0,3,1,0,3,0,0
