warrior,Patch,Daily Posts,Daily EC,Posts,EC,Qs,2ndF,QS/3RDF,Donations,BD,Snowman,AOs
Broomstick,Band,0.78,4.25,14,76.53,2,3,3,1,0,1,1
Broomstick,Beast,1.89,6.47,34,116.53,3,4,4,2,0,1,4
Broomstick,Ultimate,2.17,7.81,39,140.53,3,4,4,2,3,1,6
Chum Bucket,Band,0.17,1.7,3,30.58,1,1,1,1,0,1,0
Chum Bucket,Beast,1.28,3.92,23,70.58,2,2,2,2,1,1,0
Chum Bucket,Ultimate,1.56,5.25,28,94.58,2,2,2,2,5,1,1
Dauber,Band,0.5,1.54,9,27.71,0,2,0,1,0,1,0
Dauber,Beast,1.61,3.76,29,67.71000000000001,0,3,0,2,2,1,3
Dauber,Ultimate,1.89,5.1,34,91.71000000000001,0,3,0,2,6,1,5
Deja vu,Band,0.0,2.08,0,37.51,0,0,1,0,0,0,0
Deja vu,Beast,1.0,4.31,18,77.50999999999999,0,1,2,1,3,0,2
Deja vu,Ultimate,1.28,5.64,23,101.50999999999999,0,1,2,1,7,0,4
Depends (3rdF Q),Band,0.44,1.63,8,29.299999999999997,1,2,0,1,0,1,0
Depends (3rdF Q),Beast,1.56,3.85,28,69.3,2,3,0,2,3,1,1
Depends (3rdF Q),Ultimate,1.83,5.18,33,93.3,2,3,0,2,7,1,3
Dilly Dilly,Band,0.5,2.9,9,52.2,0,3,3,1,0,1,2
Dilly Dilly,Beast,1.61,5.12,29,92.2,1,4,4,2,3,1,5
Dilly Dilly,Ultimate,1.89,6.46,34,116.2,1,4,4,2,7,1,7
Duck Hunt,Band,0.22,0.0,4,0.0,2,2,3,1,0,1,0
Duck Hunt,Beast,1.33,2.16,24,38.95,3,3,4,2,0,1,2
Duck Hunt,Ultimate,1.61,3.5,29,62.95,3,3,4,2,4,1,4
Foghorn,Band,0.78,4.03,14,72.57,0,3,0,1,0,1,0
Foghorn,Beast,1.89,6.25,34,112.57,1,4,0,2,1,1,2
Foghorn,Ultimate,2.17,7.59,39,136.57,1,4,0,2,5,1,4
Foreclosure,Band,0.11,1.16,2,20.92,0,0,3,1,0,0,0
Foreclosure,Beast,1.22,3.38,22,60.92,0,1,4,2,0,0,0
Foreclosure,Ultimate,1.5,4.72,27,84.92,0,1,4,2,0,0,2
Hodl,Band,0.56,4.36,10,78.45,0,1,0,1,0,1,0
Hodl,Beast,1.67,6.58,30,118.45,0,2,1,2,2,1,1
Hodl,Ultimate,1.94,7.91,35,142.45,0,2,1,2,6,1,3
Mr. Kotter,Band,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Mr. Kotter,Beast,0.72,1.18,13,21.159999999999997,0,0,0,0,0,0,0
Mr. Kotter,Ultimate,1.0,2.51,18,45.16,0,0,0,0,0,0,0
Party in a bottle,Band,0.78,4.28,14,77.0,0,1,3,1,0,1,0
Party in a bottle,Beast,1.89,6.5,34,117.0,1,2,4,2,3,1,3
Party in a bottle,Ultimate,2.17,7.83,39,141.0,1,2,4,2,7,1,5
Pull-up,Band,0.11,0.0,2,0.0,0,3,0,1,0,1,0
Pull-up,Beast,1.22,2.11,22,37.959999999999994,0,4,0,2,0,1,0
Pull-up,Ultimate,1.5,3.44,27,61.959999999999994,0,4,0,2,3,1,2
Slackbot,Band,0.89,3.7,16,66.64,0,3,3,0,0,0,5
Slackbot,Beast,2.0,5.92,36,106.64,0,4,4,1,4,0,8
Slackbot,Ultimate,2.28,7.26,41,130.64,0,4,4,1,8,0,10
Soft Hands,Band,0.39,3.68,7,66.27,0,1,3,1,0,1,0
Soft Hands,Beast,1.5,5.9,27,106.27,1,2,4,2,3,1,2
Soft Hands,Ultimate,1.78,7.24,32,130.27,1,2,4,2,7,1,4
Sparkler,Band,0.28,0.0,5,0.0,0,3,3,0,0,1,0
Sparkler,Beast,1.39,1.73,25,31.159999999999997,1,4,4,1,0,1,1
Sparkler,Ultimate,1.67,3.06,30,55.16,1,4,4,1,0,1,3
Spit Valve,Band,0.56,2.83,10,51.01,0,2,3,1,0,0,0
Spit Valve,Beast,1.67,5.06,30,91.00999999999999,0,3,4,2,2,0,1
Spit Valve,Ultimate,1.94,6.39,35,115.00999999999999,0,3,4,2,6,0,3
Stitch,Band,1.39,4.29,25,77.3,2,3,3,1,0,1,2
Stitch,Beast,2.5,6.52,45,117.3,3,4,4,2,4,1,5
Stitch,Ultimate,2.78,7.85,50,141.3,3,4,4,2,8,1,7
