date,week,Team,type,points,notes
2025-12-01,0,Rudolph,FNG1,3,Rabbit
2025-12-01,0,Prancer,Santa Locks,5,"ao-the-silo-Frozen Silo; The Worm, Depends (3rdF Q), Hank Hill, Deliverance, Dilbert"
2025-12-01,0,Prancer,Santa Locks,5,"ao-the-grove-Moving heavy shit back and forth and back and fort...; Tinfoil, Spit Valve, Nemo, Liberty Biberty, YellowPages"
2025-12-01,0,Donner,Santa Locks,5,"ao-the-ridge-Forged in 15 degree weather- Foghorns Pillar #4; Corner Kick, Bedpan, Storm Chaser, Chum Bucket, Mr. Belding"
2025-12-01,0,Dancer,Santa Locks,5,"ao-the-ridge-Forged in 15 degree weather- Foghorns Pillar #4; Hodl, Ricochet, Foghorn, Martha Stewart, Cutler, Dear Abby"
2025-12-01,0,Comet,Santa Locks,10,"ao-the-grove-Moving heavy shit back and forth and back and fort...; Six Sheets, Peterbilt, Tighty Whities, Danica, Manhole, Happy Camper, Heifer, Choco Taco, Meta, Hot Lava"
2025-12-01,0,Blitzen,Individuals points,19,"['Schlitz', 'Morticia', 'Kidney Beans', 'Derailed']"
2025-12-01,0,Comet,Individuals points,96,"['Manhole', 'Meta', 'Dauber', 'Peterbilt', 'Hot Lava', 'Mahomes', 'Bob Villa', 'Happy Camper', 'Six Sheets', 'Tighty Whities', 'Pull-up', 'DJ Sump Pump', 'Danica', 'Heifer', 'Choco Taco']"
2025-12-01,0,Cupid,Individuals points,22,"['Soft Hands', 'Picasso', 'Sparkler', 'Singer']"
2025-12-01,0,Dancer,Individuals points,60,"['Cinderella', 'Pop-Tart', 'Sparky', 'Foghorn', 'Hodl', 'Cutler', 'Ricochet', 'Party in a bottle', 'Dear Abby', 'Martha Stewart']"
2025-12-01,0,Dasher,Individuals points,66,"['Scratch and Dent', 'Dog House', 'Zimmer', 'Old Maid', 'Doozie', 'Rooney', 'Norm']"
2025-12-01,0,Donner,Individuals points,41,"['Chum Bucket', 'Bedpan', 'Mr. Kotter', 'Storm Chaser', 'Mr. Belding', 'John Denver', 'Juanita', 'Hanger', 'Corner Kick']"
2025-12-01,0,Prancer,Individuals points,74,"['Boomer', 'Dilbert', 'YellowPages', 'Nemo', 'Hank Hill', 'Depends (3rdF Q)', 'Spit Valve', 'Deliverance', 'Liberty Biberty', 'PFG', 'Tinfoil', 'The Worm', 'Flo']"
2025-12-01,0,Rudolph,Individuals points,56,"['Homer Simpson', 'Ricola', 'Celine Dion', 'Foreclosure', 'Napster', 'Folgers', 'Underdog', 'Rabbit', 'Grunts', 'Marinara', 'BoilerUp']"
2025-12-01,0,Vixen,Individuals points,9,"['5-Putt', 'Scuba Steve', 'Hackman']"
2025-12-01,0,Comet,FNG1,3,Choco Taco
2025-12-01,0,Rudolph,FNG1,3,Grunts
2025-12-01,0,Rudolph,FNG1,3,Marinara
2025-12-01,0,Dancer,FNG1,3,Martha Stewart
2025-12-01,0,Comet,FNG1,3,Heifer
2025-12-01,0,Prancer,FNG1,3,Tinfoil
2025-12-01,0,Comet,FNG1,3,Six Sheets
2025-12-01,0,Comet,FNG1,3,Danica
2025-12-01,0,Comet,FNG1,3,Tighty Whities
2025-12-02,0,Rudolph,Santa Locks,5,"ao-black-rock-Ricolas Farmer Carry Beatdown; Backstreet, Foreclosure, Napster, Ricola, Celine Dion, Ringo, Marinara"
2025-12-02,0,Prancer,Santa Locks,5,"ao-black-rock-Ricolas Farmer Carry Beatdown; Dilbert, Depends (3rdF Q), Hank Hill, Nemo, Liberty Biberty, Circuit City"
2025-12-02,0,Dancer,Santa Locks,5,"ao-el-coyote-Just a ruck; Pop-Tart, Ricochet, Hodl, Phoenix, Sparky"
2025-12-02,0,Dancer,Santa Locks,5,"ao-black-rock-Ricolas Farmer Carry Beatdown; HandsOn, Cutler, Pop-Tart, Hodl, Phoenix, Party in a bottle"
2025-12-02,0,Comet,Santa Locks,5,"ao-el-coyote-Just a ruck; Bob Villa, Dauber, Meta, Hot Lava, Manhole, Danica, Peterbilt, Mahomes"
2025-12-02,0,Donner,Individuals points,52,"['fuzzy navel', 'Chum Bucket', 'Bedpan', 'Mr. Kotter', 'Storm Chaser', 'Juanita', 'Hanger']"
2025-12-02,0,Dasher,Individuals points,60,"['Trifecta', 'Scratch and Dent', 'Dog House', 'Jellystone', 'Doozie', 'Rooney']"
2025-12-02,0,Cupid,Individuals points,35,"['Soft Hands', 'Bunker', 'Picasso', 'Sparkler', 'Singer', 'Sizzler']"
2025-12-02,0,Dancer,Individuals points,73,"['Cinderella', 'Pop-Tart', 'Sparky', 'Hodl', 'Cutler', 'Ricochet', 'Phoenix', 'Party in a bottle', 'HandsOn']"
2025-12-02,0,Dancer,FNG1,3,HandsOn
2025-12-02,0,Comet,Individuals points,129,"['Manhole', 'Meta', 'Dauber', 'Peterbilt', 'Pearl', 'Hot Lava', 'Mahomes', 'Bob Villa', 'Happy Camper', 'Wing Stop (F3 Naperville)', 'Pull-up', 'DJ Sump Pump', 'Danica']"
2025-12-02,0,Blitzen,Individuals points,16,"['SkidMark', 'Morticia', 'Xena- Warrior Princess', 'Pee Wee Herman']"
2025-12-02,0,Vixen,Individuals points,20,"['5-Putt', 'vern', 'Ginga', 'Stitch', 'Hat Trick']"
2025-12-02,0,Rudolph,Individuals points,62,"['Homer Simpson', 'Ricola', 'Ringo', 'Celine Dion', 'Backstreet', 'Foreclosure', 'Napster', 'Folgers', 'Marinara']"
2025-12-02,0,Prancer,FNG1,3,Circuit City
2025-12-02,0,Vixen,FNG1,3,Stitch
2025-12-02,0,Prancer,Individuals points,87,"['Boomer', 'Dilbert', 'YellowPages', 'Nemo', 'Hank Hill', 'Depends (3rdF Q)', 'Spit Valve', 'Liberty Biberty', 'Circuit City', 'Flo']"
2025-12-03,0,Vixen,Individuals points,24,"['5-Putt', 'vern', 'Scuba Steve', 'Hackman', 'Fish Tape', 'SoccerMom']"
2025-12-03,0,Cupid,Individuals points,33,"['Soft Hands', 'Caboose', 'Bunker', 'Picasso', 'Spike Horn', 'Sparkler', 'Sizzler']"
2025-12-03,0,Dancer,Individuals points,117,"['Cinderella', 'Pop-Tart', 'Sparky', 'Foghorn', 'Hodl', 'Cutler', 'TruGreen', 'Ricochet', 'Phoenix', 'Waffle House', 'Party in a bottle', 'Thesaurus', 'And1']"
2025-12-03,0,Dasher,Individuals points,76,"['Trifecta', 'Scratch and Dent', 'Dog House', 'Old Maid', 'Jellystone', 'Doozie', 'Rooney', 'Norm', 'Drive By']"
2025-12-03,0,Donner,Individuals points,61,"['fuzzy navel', 'Chum Bucket', 'Bedpan', 'Mr. Kotter', 'Peashooter', 'Storm Chaser', 'John Denver', 'Hanger', 'Corner Kick', 'Celler Dweller', 'Moist']"
2025-12-03,0,Prancer,Individuals points,110,"['Boomer', 'Dilbert', 'Nemo', 'Hank Hill', 'Depends (3rdF Q)', 'Spit Valve', 'Deliverance', 'Liberty Biberty', 'PFG', 'Tinfoil', 'Circuit City', 'Flo', 'Sensodyne']"
