warrior,Patch,Daily Posts,Daily EC,Posts,EC,Qs,2ndF,QS/3RDF,Donations,BD,Snowman,AOs
Broomstick,Band,0.78,3.33,18,76.53,3,3,3,1,0,1,1
Broomstick,Beast,1.65,5.07,38,116.53,4,4,4,2,0,1,4
Broomstick,Ultimate,1.87,6.11,43,140.53,4,4,4,2,4,1,6
Chum Bucket,Band,0.35,1.57,8,36.08,1,1,2,1,0,1,0
Chum Bucket,Beast,1.22,3.31,28,76.08,2,2,3,2,1,1,0
Chum Bucket,Ultimate,1.43,4.35,33,100.08,2,2,3,2,5,1,2
Dauber,Band,0.52,1.61,12,36.97,0,2,0,1,0,1,0
Dauber,Beast,1.39,3.35,32,76.97,0,3,0,2,2,1,3
Dauber,Ultimate,1.61,4.39,37,100.97,0,3,0,2,6,1,5
Deja vu,Band,0.09,1.81,2,41.55,0,0,1,0,0,1,0
Deja vu,Beast,0.96,3.55,22,81.55,0,1,2,1,3,1,3
Deja vu,Ultimate,1.17,4.59,27,105.55,0,1,2,1,7,1,5
Depends (3rdF Q),Band,0.48,1.7,11,39.19,1,2,0,1,0,1,0
Depends (3rdF Q),Beast,1.35,3.44,31,79.19,2,3,0,2,3,1,1
Depends (3rdF Q),Ultimate,1.57,4.49,36,103.19,2,3,0,2,7,1,3
Dilly Dilly,Band,0.61,2.27,14,52.2,2,3,3,1,0,1,2
Dilly Dilly,Beast,1.48,4.01,34,92.2,3,4,4,2,3,1,5
Dilly Dilly,Ultimate,1.7,5.05,39,116.2,3,4,4,2,7,1,7
Duck Hunt,Band,0.26,2.52,6,58.03,2,2,3,1,0,1,0
Duck Hunt,Beast,1.13,4.26,26,98.03,3,3,4,2,0,1,2
Duck Hunt,Ultimate,1.35,5.31,31,122.03,3,3,4,2,4,1,4
Foghorn,Band,0.7,3.16,16,72.57,0,3,0,1,0,1,0
Foghorn,Beast,1.57,4.89,36,112.57,1,4,0,2,1,1,2
Foghorn,Ultimate,1.78,5.94,41,136.57,1,4,0,2,5,1,4
Foreclosure,Band,0.22,1.19,5,27.310000000000002,0,0,3,1,0,0,0
Foreclosure,Beast,1.09,2.93,25,67.31,0,1,4,2,0,0,0
Foreclosure,Ultimate,1.3,3.97,30,91.31,0,1,4,2,0,0,2
Hodl,Band,0.61,3.41,14,78.45,0,1,0,1,0,1,0
Hodl,Beast,1.48,5.15,34,118.45,0,2,1,2,3,1,2
Hodl,Ultimate,1.7,6.19,39,142.45,0,2,1,2,7,1,4
Mr. Kotter,Band,0.0,0.27,0,6.239999999999995,0,0,0,0,0,0,0
Mr. Kotter,Beast,0.87,2.01,20,46.239999999999995,0,0,0,0,0,0,0
Mr. Kotter,Ultimate,1.09,3.05,25,70.24,0,0,0,0,2,0,0
Party in a bottle,Band,0.74,3.35,17,77.0,0,1,3,1,0,1,0
Party in a bottle,Beast,1.61,5.09,37,117.0,1,2,4,2,3,1,3
Party in a bottle,Ultimate,1.83,6.13,42,141.0,1,2,4,2,7,1,5
Pull-up,Band,0.3,0.44,7,10.150000000000006,0,3,0,1,0,1,0
Pull-up,Beast,1.17,2.18,27,50.150000000000006,0,4,0,2,0,1,0
Pull-up,Ultimate,1.39,3.22,32,74.15,0,4,0,2,4,1,2
Slackbot,Band,0.74,2.9,17,66.64,0,3,3,0,0,0,5
Slackbot,Beast,1.61,4.64,37,106.64,0,4,4,1,4,0,8
Slackbot,Ultimate,1.83,5.68,42,130.64,0,4,4,1,8,0,10
Soft Hands,Band,0.48,3.02,11,69.41,1,1,3,1,0,1,0
Soft Hands,Beast,1.35,4.76,31,109.41,2,2,4,2,3,1,3
Soft Hands,Ultimate,1.57,5.8,36,133.41,2,2,4,2,7,1,5
Sparkler,Band,0.3,0.34,7,7.8700000000000045,0,3,3,0,0,1,0
Sparkler,Beast,1.17,2.08,27,47.870000000000005,1,4,4,1,0,1,1
Sparkler,Ultimate,1.39,3.12,32,71.87,1,4,4,1,0,1,3
Spit Valve,Band,0.52,2.22,12,51.01,0,2,3,1,0,0,0
Spit Valve,Beast,1.39,3.96,32,91.00999999999999,0,3,4,2,2,0,2
Spit Valve,Ultimate,1.61,5.0,37,115.00999999999999,0,3,4,2,6,0,4
Stitch,Band,1.09,3.36,25,77.3,2,3,3,1,0,1,2
Stitch,Beast,1.96,5.1,45,117.3,3,4,4,2,4,1,5
Stitch,Ultimate,2.17,6.14,50,141.3,3,4,4,2,8,1,7
