user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
Slapshot,Rudolph,0,43,14,0,<NA>,<NA>,<NA>
SoccerMom,Vixen,0,3,1,0,3,0,<NA>
Soft Hands,Cupid,0,109,17,21,<NA>,<NA>,<NA>
Sparkler,Cupid,0,117,24,28,<NA>,<NA>,<NA>
Sparky,Dancer,0,127,19,24,<NA>,<NA>,<NA>
Spike Horn,Cupid,0,13,4,0,<NA>,<NA>,<NA>
Spit Valve,Prancer,10,219,33,36,<NA>,<NA>,<NA>
Stitch,Vixen,0,21,6,3,3,5,0
Storm Chaser,Donner,0,111,17,22,<NA>,<NA>,<NA>
The Vault,Prancer,0,23,3,0,3,0,0
The Worm,Prancer,0,29,7,0,<NA>,<NA>,<NA>
Thesaurus,Dancer,0,59,15,0,<NA>,<NA>,<NA>
Tighty Whities,Comet,0,45,10,0,3,5,<NA>
Tinfoil,Prancer,0,77,16,15,3,5,<NA>
Trickle,Donner,0,12,4,0,<NA>,<NA>,<NA>
Trifecta,Dasher,0,54,4,24,<NA>,<NA>,<NA>
TruGreen,Dancer,0,47,0,0,<NA>,<NA>,<NA>
UPS,Dasher,0,42,9,0,<NA>,<NA>,<NA>
Underdog,Rudolph,0,32,7,9,<NA>,<NA>,<NA>
Waffle House,Dancer,0,73,9,5,3,5,0
Wing Stop (F3 Naperville),Comet,0,35,6,6,<NA>,<NA>,<NA>
Xena- Warrior Princess,Blitzen,0,27,5,0,<NA>,<NA>,<NA>
YellowPages,Prancer,0,123,21,3,<NA>,<NA>,<NA>
Zimmer,Dasher,0,95,13,6,<NA>,<NA>,<NA>
fuzzy navel,Donner,10,101,12,12,<NA>,<NA>,<NA>
vern,Vixen,0,48,14,6,<NA>,<NA>,<NA>
