warrior,Patch,Daily Posts,Daily EC,Posts,EC,Qs,2ndF,QS/3RDF,Donations,BD,Snowman,AOs
Broomstick,Band,0.75,3.83,15,76.53,3,3,3,1,0,1,1
Broomstick,Beast,1.75,5.83,35,116.53,4,4,4,2,0,1,4
Broomstick,Ultimate,2.0,7.03,40,140.53,4,4,4,2,3,1,6
Chum Bucket,Band,0.3,1.68,6,33.58,1,1,2,1,0,1,0
Chum Bucket,Beast,1.3,3.68,26,73.58,2,2,3,2,1,1,0
Chum Bucket,Ultimate,1.55,4.88,31,97.58,2,2,3,2,5,1,1
Dauber,Band,0.5,1.55,10,30.96,0,2,0,1,0,1,0
Dauber,Beast,1.5,3.55,30,70.96000000000001,0,3,0,2,2,1,3
Dauber,Ultimate,1.75,4.75,35,94.96000000000001,0,3,0,2,6,1,5
Deja vu,Band,0.0,1.93,0,38.51,0,0,1,0,0,0,0
Deja vu,Beast,0.95,3.93,19,78.50999999999999,0,1,2,1,3,0,2
Deja vu,Ultimate,1.2,5.13,24,102.50999999999999,0,1,2,1,7,0,4
Depends (3rdF Q),Band,0.45,1.65,9,32.91,1,2,0,1,0,1,0
Depends (3rdF Q),Beast,1.45,3.65,29,72.91,2,3,0,2,3,1,1
Depends (3rdF Q),Ultimate,1.7,4.85,34,96.91,2,3,0,2,7,1,3
Dilly Dilly,Band,0.6,2.61,12,52.2,2,3,3,1,0,1,2
Dilly Dilly,Beast,1.6,4.61,32,92.2,3,4,4,2,3,1,5
Dilly Dilly,Ultimate,1.85,5.81,37,116.2,3,4,4,2,7,1,7
Duck Hunt,Band,0.3,1.19,6,23.83,2,2,3,1,0,1,0
Duck Hunt,Beast,1.3,3.19,26,63.83,3,3,4,2,0,1,2
Duck Hunt,Ultimate,1.55,4.39,31,87.83,3,3,4,2,4,1,4
Foghorn,Band,0.75,3.63,15,72.57,0,3,0,1,0,1,0
Foghorn,Beast,1.75,5.63,35,112.57,1,4,0,2,1,1,2
Foghorn,Ultimate,2.0,6.83,40,136.57,1,4,0,2,5,1,4
Foreclosure,Band,0.15,1.21,3,24.17,0,0,3,1,0,0,0
Foreclosure,Beast,1.15,3.21,23,64.17,0,1,4,2,0,0,0
Foreclosure,Ultimate,1.4,4.41,28,88.17,0,1,4,2,0,0,2
Hodl,Band,0.65,3.92,13,78.45,0,1,0,1,0,1,0
Hodl,Beast,1.65,5.92,33,118.45,0,2,1,2,2,1,2
Hodl,Ultimate,1.9,7.12,38,142.45,0,2,1,2,6,1,4
Mr. Kotter,Band,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Mr. Kotter,Beast,0.9,1.51,18,30.159999999999997,0,0,0,0,0,0,0
Mr. Kotter,Ultimate,1.15,2.71,23,54.16,0,0,0,0,0,0,0
Party in a bottle,Band,0.8,3.85,16,77.0,0,1,3,1,0,1,0
Party in a bottle,Beast,1.8,5.85,36,117.0,1,2,4,2,3,1,3
Party in a bottle,Ultimate,2.05,7.05,41,141.0,1,2,4,2,7,1,5
Pull-up,Band,0.25,0.21,5,4.150000000000006,0,3,0,1,0,1,0
Pull-up,Beast,1.25,2.21,25,44.150000000000006,0,4,0,2,0,1,0
Pull-up,Ultimate,1.5,3.41,30,68.15,0,4,0,2,3,1,2
Slackbot,Band,0.85,3.33,17,66.64,0,3,3,0,0,0,5
Slackbot,Beast,1.85,5.33,37,106.64,0,4,4,1,4,0,8
Slackbot,Ultimate,2.1,6.53,42,130.64,0,4,4,1,8,0,10
Soft Hands,Band,0.45,3.31,9,66.27,1,1,3,1,0,1,0
Soft Hands,Beast,1.45,5.31,29,106.27,2,2,4,2,3,1,3
Soft Hands,Ultimate,1.7,6.51,34,130.27,2,2,4,2,7,1,5
Sparkler,Band,0.25,0.07,5,1.4000000000000057,0,3,3,0,0,1,0
Sparkler,Beast,1.25,2.07,25,41.400000000000006,1,4,4,1,0,1,1
Sparkler,Ultimate,1.5,3.27,30,65.4,1,4,4,1,0,1,3
Spit Valve,Band,0.6,2.55,12,51.01,0,2,3,1,0,0,0
Spit Valve,Beast,1.6,4.55,32,91.00999999999999,0,3,4,2,2,0,2
Spit Valve,Ultimate,1.85,5.75,37,115.00999999999999,0,3,4,2,6,0,4
Stitch,Band,1.25,3.86,25,77.3,2,3,3,1,0,1,2
Stitch,Beast,2.25,5.86,45,117.3,3,4,4,2,4,1,5
Stitch,Ultimate,2.5,7.06,50,141.3,3,4,4,2,8,1,7
