warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,3,3.47,0,0,0,0,1,3,"['the-olympiad', 'the-ridge', 'black-diamond']"
Chum Bucket,5,8.77,0,1,0,0,1,5,"['the-olympiad', 'the-ridge', 'black-diamond', 'the-silo', 'dmz']"
Dauber,4,8.91,1,0,1,0,0,3,"['the-olympiad', 'the-colosseum', 'the-ridge']"
Deja vu,7,3.31,0,1,0,0,0,0,[]
Depends (3rdF Q),3,5.720000000000001,0,0,1,0,1,3,"['the-olympiad', 'black-diamond', 'ravens-nest']"
Dilly Dilly,2,14.2,1,0,0,0,0,1,['the-ridge']
Duck Hunt,7,9.45,1,0,0,0,1,3,"['black-diamond', 'da-grizz', 'el-coyote']"
Foghorn,4,4.4,1,0,1,0,2,3,"['black-diamond', 'the-silo', 'the-grove']"
Foreclosure,6,7.870000000000001,0,1,0,0,3,3,"['black-diamond', 'the-olympiad', 'the-silo']"
Mr. Kotter,6,14.870000000000001,0,1,0,1,0,5,"['the-colosseum', 'the-ridge', 'ravens-nest', 'el-coyote', 'black-rock']"
Party in a bottle,3,3.0,2,1,0,0,0,3,"['the-colosseum', 'the-ridge', 'black-rock']"
Pull-up,5,13.09,1,0,0,0,1,4,"['the-ridge', 'black-diamond', 'the-silo', 'the-grove']"
Slackbot,5,3.31,5,0,0,0,0,0,[]
Sparkler,5,15.850000000000001,1,0,0,1,4,3,"['black-diamond', 'the-silo', 'the-grove']"
Spit Valve,6,6.1,4,0,0,0,0,2,"['the-colosseum', 'the-ridge']"
Stitch,2,2.7,0,0,0,0,0,2,"['the-silo', 'the-grove']"
