week,team,user,week total,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,ao_list
1,Dancer,Phoenix,57,5,21,5,5,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-olympiad, the-silo"
1,Donner,Storm Chaser,56,14,25,5,6,,3,,,3,,,"black-rock, ravens-nest, the-colosseum, the-olympiad, the-ridge"
1,Cupid,Soft Hands,55,12,18,5,4,5,3,,5,3,,,"black-rock, da-grizz, the-colosseum, the-olympiad, the-ridge"
0,Dancer,Ricochet,55,18,21,5,5,,3,,,3,,,"el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge, the-silo"
1,Comet,Mahomes,54,6,24,,6,5,3,5,5,,,,"da-grizz, el-coyote, the-colosseum, the-olympiad"
1,Dancer,Waffle House,54,5,21,5,5,5,3,5,5,,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-olympiad, the-silo"
1,Donner,Bedpan,52,9,18,5,4,,3,5,5,3,,,"black-rock, da-grizz, dmz, the-colosseum, the-olympiad, the-ridge"
1,Rudolph,Celine Dion,52,12,21,5,5,,,5,,3,1,,"black-rock, da-grizz, ravens-nest, the-grove, the-ridge"
1,Dancer,Cinderella,51,5,22,5,5,5,3,,5,,1,,"black-diamond, da-grizz, the-colosseum, the-olympiad, the-ridge"
1,Dancer,Dear Abby,51,9,21,5,5,,3,5,,3,,,"da-grizz, the-colosseum, the-olympiad, the-ridge, the-silo"
0,Rudolph,Ringo,51,,24,5,6,5,,5,5,,1,,"black-rock, da-grizz, el-coyote, ravens-nest, the-colosseum"
0,Comet,Bob Villa,50,7,20,5,4,,,5,5,3,1,,"black-diamond, el-coyote, the-colosseum, the-olympiad, the-ridge"
1,Prancer,Dilbert,50,9,15,5,,5,3,5,5,3,,,"black-rock, ravens-nest, the-olympiad, the-ridge, the-silo"
1,Prancer,YellowPages,50,3,21,5,5,,3,5,5,3,,,"black-rock, da-grizz, ravens-nest, the-colosseum, the-olympiad"
0,Dancer,Foghorn,48,12,18,,4,5,3,5,,,1,,"da-grizz, the-olympiad, the-ridge, the-silo"
0,Donner,Bedpan,48,7,21,5,5,,,5,5,,,,"black-rock, da-grizz, the-colosseum, the-olympiad, the-ridge"
1,Vixen,Dilly Dilly,48,11,22,5,5,,,5,,,,,"black-diamond, dmz, the-colosseum, the-grove, the-ridge"
