date,week,Team,type,points,notes
2025-12-01,0,Comet,FNG1,3,Heifer
2025-12-01,0,Prancer,Santa Locks,5,"ao-the-silo-Frozen Silo; Dilbert, Depends (3rdF Q), Hank Hill, Deliverance, The Worm"
2025-12-01,0,Prancer,Santa Locks,5,"ao-the-grove-Moving heavy shit back and forth and back and fort...; Spit Valve, Tinfoil, YellowPages, Nemo, Liberty Biberty"
2025-12-01,0,Donner,Santa Locks,5,"ao-the-ridge-Forged in 15 degree weather- Foghorns Pillar #4; Bedpan, Storm Chaser, Mr. Belding, Chum Bucket, Corner Kick"
2025-12-01,0,Dancer,Santa Locks,5,"ao-the-ridge-Forged in 15 degree weather- Foghorns Pillar #4; Dear Abby, Cutler, Foghorn, Ricochet, Martha Stewart, Hodl"
2025-12-01,0,Comet,Santa Locks,10,"ao-the-grove-Moving heavy shit back and forth and back and fort...; Six Sheets, Tighty Whities, Peterbilt, Danica, Manhole, Hot Lava, Meta, Happy Camper, Heifer, Choco Taco"
2025-12-01,0,Blitzen,Individuals points,19,"['Schlitz', 'Morticia', 'Kidney Beans', 'Derailed']"
2025-12-01,0,Comet,Individuals points,96,"['Manhole', 'Meta', 'Dauber', 'Peterbilt', 'Hot Lava', 'Mahomes', 'Bob Villa', 'Happy Camper', 'Six Sheets', 'Tighty Whities', 'Pull-up', 'DJ Sump Pump', 'Danica', 'Heifer', 'Choco Taco']"
2025-12-01,0,Cupid,Individuals points,22,"['Soft Hands', 'Picasso', 'Sparkler', 'Singer']"
2025-12-01,0,Dancer,Individuals points,60,"['Cinderella', 'Pop-Tart', 'Sparky', 'Foghorn', 'Hodl', 'Cutler', 'Ricochet', 'Party in a bottle', 'Dear Abby', 'Martha Stewart']"
2025-12-01,0,Dasher,Individuals points,66,"['Scratch and Dent', 'Dog House', 'Zimmer', 'Old Maid', 'Doozie', 'Rooney', 'Norm']"
2025-12-01,0,Donner,Individuals points,41,"['Chum Bucket', 'Bedpan', 'Mr. Kotter', 'Storm Chaser', 'Mr. Belding', 'Juanita', 'Hanger', 'John Denver', 'Corner Kick']"
2025-12-01,0,Rudolph,Individuals points,56,"['Homer Simpson', 'Ricola', 'Celine Dion', 'Foreclosure', 'Napster', 'Folgers', 'Underdog', 'Rabbit', 'Grunts', 'Marinara', 'BoilerUp']"
2025-12-01,0,Vixen,Individuals points,9,"['5-Putt', 'Scuba Steve', 'Hackman']"
2025-12-01,0,Prancer,Individuals points,74,"['Boomer', 'Dilbert', 'YellowPages', 'Nemo', 'Hank Hill', 'Depends (3rdF Q)', 'Spit Valve', 'Deliverance', 'Liberty Biberty', 'PFG', 'Tinfoil', 'The Worm', 'Flo']"
2025-12-01,0,Dancer,FNG1,3,Martha Stewart
2025-12-01,0,Rudolph,FNG1,3,Rabbit
2025-12-01,0,Rudolph,FNG1,3,Grunts
2025-12-01,0,Comet,FNG1,3,Six Sheets
2025-12-01,0,Rudolph,FNG1,3,Marinara
2025-12-01,0,Comet,FNG1,3,Danica
2025-12-01,0,Comet,FNG1,3,Tighty Whities
2025-12-01,0,Comet,FNG1,3,Choco Taco
2025-12-01,0,Prancer,FNG1,3,Tinfoil
2025-12-02,0,Rudolph,Santa Locks,5,"ao-black-rock-Ricolas Farmer Carry Beatdown; Marinara, Backstreet, Foreclosure, Celine Dion, Napster, Ricola, Ringo"
2025-12-02,0,Prancer,Santa Locks,5,"ao-black-rock-Ricolas Farmer Carry Beatdown; Circuit City, Liberty Biberty, Nemo, Dilbert, Depends (3rdF Q), Hank Hill"
2025-12-02,0,Dancer,Santa Locks,5,"ao-el-coyote-Just a ruck; Phoenix, Hodl, Ricochet, Pop-Tart, Sparky"
2025-12-02,0,Dancer,Santa Locks,5,"ao-black-rock-Ricolas Farmer Carry Beatdown; HandsOn, Party in a bottle, Phoenix, Hodl, Pop-Tart, Cutler"
2025-12-02,0,Comet,Santa Locks,5,"ao-el-coyote-Just a ruck; Mahomes, Dauber, Meta, Hot Lava, Manhole, Danica, Peterbilt, Bob Villa"
2025-12-02,0,Donner,Individuals points,52,"['fuzzy navel', 'Chum Bucket', 'Bedpan', 'Mr. Kotter', 'Storm Chaser', 'Juanita', 'Hanger']"
2025-12-02,0,Vixen,FNG1,3,Stitch
2025-12-02,0,Dasher,Individuals points,60,"['Trifecta', 'Scratch and Dent', 'Dog House', 'Jellystone', 'Doozie', 'Rooney']"
2025-12-02,0,Dancer,FNG1,3,HandsOn
2025-12-02,0,Cupid,Individuals points,35,"['Soft Hands', 'Bunker', 'Picasso', 'Sparkler', 'Sizzler', 'Singer']"
2025-12-02,0,Comet,Individuals points,129,"['Manhole', 'Meta', 'Dauber', 'Peterbilt', 'Pearl', 'Hot Lava', 'Mahomes', 'Bob Villa', 'Happy Camper', 'Wing Stop (F3 Naperville)', 'Pull-up', 'DJ Sump Pump', 'Danica']"
2025-12-02,0,Blitzen,Individuals points,16,"['SkidMark', 'Morticia', 'Xena- Warrior Princess', 'Pee Wee Herman']"
2025-12-02,0,Dancer,Individuals points,73,"['Cinderella', 'Pop-Tart', 'Sparky', 'Hodl', 'Cutler', 'Ricochet', 'Phoenix', 'Party in a bottle', 'HandsOn']"
2025-12-02,0,Rudolph,Individuals points,62,"['Homer Simpson', 'Ricola', 'Ringo', 'Celine Dion', 'Backstreet', 'Foreclosure', 'Napster', 'Folgers', 'Marinara']"
2025-12-02,0,Vixen,Individuals points,20,"['5-Putt', 'vern', 'Ginga', 'Stitch', 'Hat Trick']"
2025-12-02,0,Prancer,FNG1,3,Circuit City
2025-12-02,0,Prancer,Individuals points,87,"['Boomer', 'Dilbert', 'YellowPages', 'Nemo', 'Hank Hill', 'Depends (3rdF Q)', 'Spit Valve', 'Liberty Biberty', 'Circuit City', 'Flo']"
2025-12-03,0,Vixen,Individuals points,24,"['5-Putt', 'Scuba Steve', 'vern', 'Hackman', 'Fish Tape', 'SoccerMom']"
2025-12-03,0,Cupid,Individuals points,33,"['Soft Hands', 'Caboose', 'Bunker', 'Picasso', 'Spike Horn', 'Sparkler', 'Sizzler']"
2025-12-03,0,Dancer,Individuals points,117,"['Cinderella', 'Pop-Tart', 'Sparky', 'Foghorn', 'Hodl', 'Cutler', 'TruGreen', 'Ricochet', 'Phoenix', 'Waffle House', 'Party in a bottle', 'Thesaurus', 'And1']"
2025-12-03,0,Dasher,Individuals points,76,"['Trifecta', 'Scratch and Dent', 'Dog House', 'Old Maid', 'Jellystone', 'Doozie', 'Rooney', 'Norm', 'Drive By']"
2025-12-03,0,Donner,Individuals points,61,"['fuzzy navel', 'Chum Bucket', 'Bedpan', 'Mr. Kotter', 'Peashooter', 'Storm Chaser', 'Hanger', 'John Denver', 'Corner Kick', 'Celler Dweller', 'Moist']"
2025-12-03,0,Prancer,Individuals points,110,"['Boomer', 'Dilbert', 'Nemo', 'Hank Hill', 'Depends (3rdF Q)', 'Spit Valve', 'Deliverance', 'Liberty Biberty', 'PFG', 'Tinfoil', 'Circuit City', 'Flo', 'Sensodyne']"
2025-12-03,0,Rudolph,Individuals points,56,"['Homer Simpson', 'Ricola', 'Ringo', 'Celine Dion', 'Foreclosure', 'Napster', 'Italian Ice', 'Underdog', 'Marinara', 'Slapshot', 'BoilerUp']"
2025-12-03,0,Blitzen,Individuals points,15,"['Morticia', 'Kidney Beans', 'Pee Wee Herman', 'Foundation', 'Derailed']"
2025-12-03,0,Comet,Individuals points,128,"['Manhole', 'Meta', 'Dauber', 'Peterbilt', 'Pearl', 'Hot Lava', 'Bob Villa', 'Happy Camper', 'Six Sheets', 'Tighty Whities', 'Shankapotomus', 'Pull-up', 'DJ Sump Pump', 'Danica', 'Algorithm', 'Heifer', 'Hatchet (Lizard Q)']"
2025-12-03,0,Dancer,FNG1,3,Waffle House
2025-12-03,0,Prancer,Santa Locks,5,"ao-ravens-nest-Ringo, Ravens, and Refrigerated PAX; Dilbert, Depends (3rdF Q), Hank Hill, Tinfoil, Boomer"
