warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,9,3.47,0,0,0,0,3,4,"['black-diamond', 'the-olympiad', 'the-ridge', 'the-colosseum']"
Chum Bucket,14,23.73,1,2,0,0,3,6,"['the-olympiad', 'the-ridge', 'the-silo', 'black-diamond', 'dmz', 'the-grove']"
Dauber,12,27.39,2,1,3,0,1,4,"['the-olympiad', 'the-ridge', 'the-colosseum', 'black-diamond']"
Deja vu,20,23.51,1,3,1,0,1,3,"['the-ridge', 'black-diamond', 'black-rock']"
Depends (3rdF Q),11,27.69,1,1,5,0,1,6,"['the-olympiad', 'black-diamond', 'ravens-nest', 'the-colosseum', 'black-rock', 'the-silo']"
Dilly Dilly,10,27.8,1,0,0,0,1,3,"['the-ridge', 'the-colosseum', 'black-diamond']"
Duck Hunt,18,18.830000000000002,1,1,0,0,4,6,"['black-diamond', 'el-coyote', 'da-grizz', 'ravens-nest', 'da-grizz-ebc', 'black-rock']"
Foghorn,10,4.4,2,0,3,0,3,5,"['black-diamond', 'the-grove', 'the-silo', 'the-ridge', 'the-colosseum']"
Foreclosure,16,31.25,2,3,0,0,6,5,"['the-olympiad', 'black-diamond', 'the-silo', 'the-ridge', 'black-rock']"
Mr. Kotter,20,51.03,1,4,3,1,4,11,"['el-coyote', 'the-colosseum', 'the-ridge', 'black-rock', 'ravens-nest', 'black-diamond', 'the-olympiad', 'the-silo', 'the-grove', 'da-grizz-ebc', 'da-grizz']"
Party in a bottle,8,3.0,2,2,0,0,1,4,"['the-ridge', 'the-colosseum', 'black-rock', 'black-diamond']"
Pull-up,15,44.11,4,0,2,0,4,6,"['the-ridge', 'the-grove', 'black-diamond', 'the-silo', 'dmz', 'the-colosseum']"
Slackbot,9,13.36,9,0,0,0,0,0,[]
Soft Hands,13,4.0,2,2,0,0,1,5,"['the-olympiad', 'the-colosseum', 'the-ridge', 'black-diamond', 'black-rock']"
Sparkler,15,46.730000000000004,2,0,0,1,6,5,"['black-diamond', 'the-grove', 'the-silo', 'black-rock', 'the-ridge']"
Spit Valve,13,23.79,9,1,0,0,2,6,"['the-colosseum', 'the-ridge', 'the-grove', 'el-coyote', 'the-olympiad', 'black-diamond']"
Stitch,4,2.7,1,0,0,0,0,3,"['the-grove', 'the-silo', 'the-ridge']"
