warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,9,3.47,0,0,0,0,3,4,"['black-diamond', 'the-olympiad', 'the-ridge', 'the-colosseum']"
Chum Bucket,13,20.73,1,2,0,0,3,6,"['the-olympiad', 'the-ridge', 'the-silo', 'black-diamond', 'dmz', 'the-grove']"
Dauber,11,23.03,1,1,2,0,1,4,"['the-olympiad', 'the-ridge', 'the-colosseum', 'black-diamond']"
Deja vu,18,22.27,1,3,1,0,1,3,"['the-ridge', 'black-diamond', 'black-rock']"
Depends (3rdF Q),10,27.69,0,1,4,0,1,6,"['the-olympiad', 'black-diamond', 'ravens-nest', 'the-colosseum', 'black-rock', 'the-silo']"
Dilly Dilly,9,27.8,1,0,0,0,1,3,"['the-ridge', 'the-colosseum', 'black-diamond']"
Duck Hunt,18,15.65,1,1,0,0,4,6,"['el-coyote', 'black-diamond', 'da-grizz', 'ravens-nest', 'da-grizz-ebc', 'black-rock']"
Foghorn,9,4.4,2,0,2,0,3,5,"['black-diamond', 'the-grove', 'the-silo', 'the-ridge', 'the-colosseum']"
Foreclosure,15,24.96,2,2,0,0,6,5,"['the-olympiad', 'black-diamond', 'the-silo', 'the-ridge', 'black-rock']"
Mr. Kotter,19,39.84,1,4,2,1,4,11,"['el-coyote', 'the-colosseum', 'the-ridge', 'black-rock', 'ravens-nest', 'black-diamond', 'the-olympiad', 'the-silo', 'the-grove', 'da-grizz-ebc', 'da-grizz']"
Party in a bottle,8,3.0,2,2,0,0,1,4,"['the-ridge', 'the-colosseum', 'black-rock', 'black-diamond']"
Pull-up,14,37.93,3,0,2,0,4,6,"['the-ridge', 'the-grove', 'black-diamond', 'the-silo', 'dmz', 'the-colosseum']"
Slackbot,9,13.36,9,0,0,0,0,0,[]
Soft Hands,12,4.0,2,2,0,0,1,5,"['the-olympiad', 'the-colosseum', 'the-ridge', 'black-diamond', 'black-rock']"
Sparkler,14,39.1,2,0,0,1,6,4,"['black-diamond', 'the-grove', 'the-silo', 'black-rock']"
Spit Valve,13,16.29,9,1,0,0,2,6,"['the-colosseum', 'the-ridge', 'the-grove', 'el-coyote', 'the-olympiad', 'black-diamond']"
Stitch,4,2.7,1,0,0,0,0,3,"['the-grove', 'the-silo', 'the-ridge']"
