warrior,Patch,Daily Posts,Daily EC,Posts,EC,Qs,2ndF,QS/3RDF,Donations,BD,Snowman,AOs
Broomstick,Band,0.87,5.1,13,76.53,2,3,3,1,0,1,0
Broomstick,Beast,2.2,7.77,33,116.53,3,4,4,2,0,1,3
Broomstick,Ultimate,2.53,9.37,38,140.53,3,4,4,2,3,1,5
Chum Bucket,Band,0.07,1.6,1,23.979999999999997,1,0,1,1,0,1,0
Chum Bucket,Beast,1.4,4.27,21,63.98,2,1,2,2,1,1,0
Chum Bucket,Ultimate,1.73,5.87,26,87.97999999999999,2,1,2,2,5,1,1
Dauber,Band,0.53,0.81,8,12.159999999999997,0,2,0,1,0,1,0
Dauber,Beast,1.87,3.48,28,52.16,0,3,0,2,2,1,3
Dauber,Ultimate,2.2,5.08,33,76.16,0,3,0,2,6,1,5
Deja vu,Band,0.0,1.9,0,28.5,0,0,0,0,0,0,0
Deja vu,Beast,1.07,4.57,16,68.5,0,1,1,1,3,0,2
Deja vu,Ultimate,1.4,6.17,21,92.5,0,1,1,1,7,0,4
Depends (3rdF Q),Band,0.53,1.95,8,29.299999999999997,1,2,0,1,0,1,0
Depends (3rdF Q),Beast,1.87,4.62,28,69.3,2,3,0,2,3,1,1
Depends (3rdF Q),Ultimate,2.2,6.22,33,93.3,2,3,0,2,7,1,3
Dilly Dilly,Band,0.6,3.48,9,52.2,0,3,3,1,0,1,2
Dilly Dilly,Beast,1.93,6.15,29,92.2,1,4,4,2,3,1,5
Dilly Dilly,Ultimate,2.27,7.75,34,116.2,1,4,4,2,7,1,7
Duck Hunt,Band,0.27,0.0,4,0.0,2,2,3,1,0,1,0
Duck Hunt,Beast,1.6,1.6,24,23.959999999999994,3,3,4,2,0,1,2
Duck Hunt,Ultimate,1.93,3.2,29,47.959999999999994,3,3,4,2,4,1,4
Foghorn,Band,0.93,4.84,14,72.57,0,3,0,1,0,1,0
Foghorn,Beast,2.27,7.5,34,112.57,1,4,0,2,1,1,2
Foghorn,Ultimate,2.6,9.1,39,136.57,1,4,0,2,5,1,4
Foreclosure,Band,0.0,0.98,0,14.679999999999993,0,0,2,1,0,0,0
Foreclosure,Beast,1.27,3.65,19,54.67999999999999,0,1,3,2,0,0,0
Foreclosure,Ultimate,1.6,5.25,24,78.67999999999999,0,1,3,2,0,0,2
Hodl,Band,0.6,5.23,9,78.45,0,1,0,1,0,1,0
Hodl,Beast,1.93,7.9,29,118.45,0,2,1,2,2,1,0
Hodl,Ultimate,2.27,9.5,34,142.45,0,2,1,2,6,1,2
Mr. Kotter,Band,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Mr. Kotter,Beast,0.67,0.4,10,6.060000000000002,0,0,0,0,0,0,0
Mr. Kotter,Ultimate,1.0,2.0,15,30.060000000000002,0,0,0,0,0,0,0
Party in a bottle,Band,0.93,5.13,14,77.0,0,1,3,1,0,1,0
Party in a bottle,Beast,2.27,7.8,34,117.0,1,2,4,2,3,1,3
Party in a bottle,Ultimate,2.6,9.4,39,141.0,1,2,4,2,7,1,5
Pull-up,Band,0.0,0.0,0,0.0,0,3,0,1,0,1,0
Pull-up,Beast,1.27,1.91,19,28.659999999999997,0,4,0,2,0,1,0
Pull-up,Ultimate,1.6,3.51,24,52.66,0,4,0,2,3,1,2
Slackbot,Band,1.07,4.44,16,66.64,0,3,3,0,0,0,5
Slackbot,Beast,2.4,7.11,36,106.64,0,4,4,1,4,0,8
Slackbot,Ultimate,2.73,8.71,41,130.64,0,4,4,1,8,0,10
Soft Hands,Band,0.33,4.42,5,66.27,0,1,3,1,0,1,0
Soft Hands,Beast,1.67,7.08,25,106.27,1,2,4,2,2,1,2
Soft Hands,Ultimate,2.0,8.68,30,130.27,1,2,4,2,6,1,4
Sparkler,Band,0.27,0.0,4,0.0,0,3,3,0,0,1,0
Sparkler,Beast,1.6,1.83,24,27.409999999999997,1,4,4,1,0,1,1
Sparkler,Ultimate,1.93,3.43,29,51.41,1,4,4,1,0,1,3
Spit Valve,Band,0.53,3.17,8,47.51,0,2,3,1,0,0,0
Spit Valve,Beast,1.87,5.83,28,87.50999999999999,0,3,4,2,2,0,1
Spit Valve,Ultimate,2.2,7.43,33,111.50999999999999,0,3,4,2,6,0,3
Stitch,Band,1.67,5.15,25,77.3,2,3,3,1,0,1,2
Stitch,Beast,3.0,7.82,45,117.3,3,4,4,2,4,1,5
Stitch,Ultimate,3.33,9.42,50,141.3,3,4,4,2,8,1,7
