warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,15,3.47,3,0,0,0,7,5,"['the-olympiad', 'the-colosseum', 'the-ridge', 'black-diamond', 'the-grove']"
Depends (3rdF Q),23,9.92,6,2,0,0,1,8,"['the-olympiad', 'the-ridge', 'black-diamond', 'da-grizz', 'the-silo', 'ravens-nest', 'el-coyote', 'black-rock']"
Dilly Dilly,24,3.0,1,0,0,0,2,6,"['the-colosseum', 'the-ridge', 'black-diamond', 'da-grizz', 'the-grove', 'dmz']"
Duck Hunt,17,1.75,3,0,0,0,3,5,"['black-diamond', 'da-grizz', 'the-silo', 'ravens-nest', 'el-coyote']"
F3Plainfield_IL,4,0.0,4,0,0,1,0,0,[]
Foreclosure,21,3.47,1,2,0,0,4,9,"['black-diamond', 'the-olympiad', 'the-colosseum', 'the-ridge', 'da-grizz', 'the-silo', 'the-grove', 'ravens-nest', 'black-rock']"
Mr. Kotter,26,5.77,4,2,0,0,1,7,"['the-colosseum', 'the-ridge', 'black-diamond', 'the-silo', 'the-grove', 'dmz', 'el-coyote']"
Pull-up,25,4.25,2,1,0,0,4,6,"['the-colosseum', 'the-ridge', 'black-diamond', 'the-silo', 'the-grove', 'dmz']"
Sparkler,25,7.45,0,0,0,1,6,9,"['the-colosseum', 'the-ridge', 'black-diamond', 'da-grizz', 'the-silo', 'the-grove', 'dmz', 'ravens-nest', 'black-rock']"
Stitch,7,2.7,0,0,0,0,0,4,"['the-colosseum', 'the-ridge', 'the-silo', 'the-grove']"
